estatus,id,fecha
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",835,20/10/2022
SIN CONTACTO,836,02/11/2022
DATOS INCORRECTOS,837,28/10/2022
DE 1 A 3 DOCUMENTOS,838,07/11/2022
DATOS INCORRECTOS,839,26/10/2022
SIN CONTACTO,840,02/11/2022
SIN CONTACTO,841,02/11/2022
CON CONTACTO SIN DOCUMENTOS,842,07/11/2022
SIN CONTACTO,843,28/10/2022
DE 7 A 10 DOCUMENTOS,844,07/11/2022
CON CONTACTO SIN DOCUMENTOS,845,07/11/2022
CON CONTACTO SIN DOCUMENTOS,846,07/11/2022
CON CONTACTO SIN DOCUMENTOS,847,07/11/2022
CON CONTACTO SIN DOCUMENTOS,848,07/11/2022
SIN CONTACTO,849,02/11/2022
DATOS INCORRECTOS,850,28/10/2022
SIN CONTACTO,851,07/11/2022
DATOS INCORRECTOS,852,26/10/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",853,27/10/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",854,27/10/2022
TERMINADO POR PROCESO COMPLETO,855,27/10/2022
CON CONTACTO SIN DOCUMENTOS,856,07/11/2022
CON CONTACTO SIN DOCUMENTOS,857,07/11/2022
CON CONTACTO SIN DOCUMENTOS,858,07/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",859,27/10/2022
CON CONTACTO SIN DOCUMENTOS,860,02/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",861,27/10/2022
DE 1 A 3 DOCUMENTOS,862,07/11/2022
DE 4 A 6 DOCUMENTOS,863,02/11/2022
SIN CONTACTO,864,02/11/2022
CON CONTACTO SIN DOCUMENTOS,865,02/11/2022
CON CONTACTO SIN DOCUMENTOS,866,01/11/2022
CON CONTACTO SIN DOCUMENTOS,867,01/11/2022
CON CONTACTO SIN DOCUMENTOS,868,07/11/2022
DE 7 A 10 DOCUMENTOS,869,02/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",870,27/10/2022
CON CONTACTO SIN DOCUMENTOS,871,07/11/2022
CON CONTACTO SIN DOCUMENTOS,872,07/11/2022
CON CONTACTO SIN DOCUMENTOS,873,07/11/2022
CON CONTACTO SIN DOCUMENTOS,874,02/11/2022
CON CONTACTO SIN DOCUMENTOS,875,07/11/2022
DE 7 A 10 DOCUMENTOS,876,07/11/2022
CON CONTACTO SIN DOCUMENTOS,877,07/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",878,20/10/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",879,27/10/2022
SIN CONTACTO,880,07/11/2022
TERMINADO POR PROCESO COMPLETO,881,27/10/2022
SIN CONTACTO,882,07/11/2022
DE 4 A 6 DOCUMENTOS,883,07/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",884,28/10/2022
SIN CONTACTO,885,02/11/2022
CON CONTACTO SIN DOCUMENTOS,886,07/11/2022
CON CONTACTO SIN DOCUMENTOS,887,07/11/2022
DATOS INCORRECTOS,888,28/10/2022
CON CONTACTO SIN DOCUMENTOS,889,02/11/2022
CON CONTACTO SIN DOCUMENTOS,890,07/11/2022
CON CONTACTO SIN DOCUMENTOS,891,07/11/2022
SIN CONTACTO,892,01/11/2022
CON CONTACTO SIN DOCUMENTOS,893,01/11/2022
CON CONTACTO SIN DOCUMENTOS,894,01/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",895,27/10/2022
SIN CONTACTO,896,01/11/2022
CON CONTACTO SIN DOCUMENTOS,897,01/11/2022
CON CONTACTO SIN DOCUMENTOS,898,01/11/2022
CON CONTACTO SIN DOCUMENTOS,899,07/11/2022
CON CONTACTO SIN DOCUMENTOS,900,01/11/2022
CON CONTACTO SIN DOCUMENTOS,901,02/11/2022
CON CONTACTO SIN DOCUMENTOS,902,02/11/2022
DATOS INCORRECTOS,903,28/10/2022
SIN CONTACTO,904,28/10/2022
CON CONTACTO SIN DOCUMENTOS,905,01/11/2022
CON CONTACTO SIN DOCUMENTOS,906,07/11/2022
DE 1 A 3 DOCUMENTOS,907,02/11/2022
CON CONTACTO SIN DOCUMENTOS,908,07/11/2022
SIN CONTACTO,909,07/11/2022
SIN CONTACTO,910,07/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",911,27/10/2022
CON CONTACTO SIN DOCUMENTOS,912,07/11/2022
CON CONTACTO SIN DOCUMENTOS,913,02/11/2022
SIN CONTACTO,914,02/11/2022
CON CONTACTO SIN DOCUMENTOS,915,07/11/2022
CON CONTACTO SIN DOCUMENTOS,916,07/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",917,28/10/2022
SIN CONTACTO,918,07/11/2022
